items,hedge,keys,size,p
378,1.407407,4,532,0.995833
379,1.403694,4,532,0.995833
380,1.410526,4,536,0.995833
381,1.406824,4,536,0.995833
382,1.403141,4,536,0.995833
383,1.409922,4,540,0.995833
384,1.40625,4,540,0.995833
385,1.402597,4,540,0.995833
386,1.398964,4,540,0.995833
387,1.405685,4,544,0.995833
388,1.402062,4,544,0.995833
389,1.40874,4,548,0.995833
390,1.405128,4,548,0.995833
391,1.401535,4,548,0.995833
392,1.408163,4,552,0.995833
393,1.40458,4,552,0.995833
394,1.401015,4,552,0.995833
395,1.397468,4,552,0.995833
396,1.40404,4,556,0.995833
397,1.400504,4,556,0.995833
398,1.407035,4,560,0.995833
399,1.403509,4,560,0.995833
400,1.4,4,560,0.995833
401,1.396509,4,560,0.995833
402,1.402985,4,564,0.995833
403,1.399504,4,564,0.995833
404,1.405941,4,568,0.995833
405,1.402469,4,568,0.995833
406,1.399015,4,568,0.995833
407,1.405405,4,572,0.995833
408,1.401961,4,572,0.995833
409,1.398533,4,572,0.995833
410,1.404878,4,576,0.995833
411,1.40146,4,576,0.995833
412,1.398058,4,576,0.995833
413,1.404358,4,580,0.995833
414,1.400966,4,580,0.995833
415,1.39759,4,580,0.995833
416,1.403846,4,584,0.995833
417,1.40048,4,584,0.995833
418,1.397129,4,584,0.995833
419,1.393795,4,584,0.995833
420,1.4,4,588,0.995833
421,1.3966750000000001,4,588,0.995833
422,1.402844,4,592,0.995833
423,1.399527,4,592,0.995833
424,1.396226,4,592,0.995833
425,1.402353,4,596,0.995833
426,1.399061,4,596,0.995833
427,1.395785,4,596,0.995833
428,1.392523,4,596,0.995833
429,1.398601,4,600,0.995833
430,1.395349,4,600,0.995833
431,1.401392,4,604,0.995833
432,1.398148,4,604,0.995833
433,1.394919,4,604,0.995833
434,1.400922,4,608,0.995833
435,1.397701,4,608,0.995833
436,1.394495,4,608,0.995833
437,1.400458,4,612,0.995833
438,1.39726,4,612,0.995833
439,1.403189,4,616,0.995833
440,1.4,4,616,0.995833
441,1.396825,4,616,0.995833
442,1.393665,4,616,0.995833
443,1.399549,4,620,0.995833
444,1.396396,4,620,0.995833
445,1.402247,4,624,0.995833
446,1.390135,4,620,0.995833
447,1.395973,4,624,0.995833
448,1.392857,4,624,0.995833
449,1.398664,4,628,0.995833
450,1.395556,4,628,0.995833
451,1.392461,4,628,0.995833
452,1.39823,4,632,0.995833
453,1.395143,4,632,0.995833
454,1.39207,4,632,0.995833
455,1.397802,4,636,0.995833
456,1.394737,4,636,0.995833
457,1.391685,4,636,0.995833
458,1.39738,4,640,0.995833
459,1.394336,4,640,0.995833
460,1.391304,4,640,0.995833
461,1.388286,4,640,0.995833
462,1.393939,4,644,0.995833
463,1.390929,4,644,0.995833
464,1.396552,4,648,0.995833
465,1.393548,4,648,0.995833
466,1.390558,4,648,0.995833
467,1.396146,4,652,0.995833
468,1.393162,4,652,0.995833
469,1.390192,4,652,0.995833
470,1.395745,4,656,0.995833
471,1.392781,4,656,0.995833
472,1.389831,4,656,0.995833
473,1.395349,4,660,0.995833
474,1.392405,4,660,0.995833
475,1.389474,4,660,0.995833
476,1.394958,4,664,0.995833
477,1.392034,4,664,0.995833
478,1.389121,4,664,0.995833
479,1.386221,4,664,0.995833
480,1.391667,4,668,0.995833
481,1.388773,4,668,0.995833
482,1.394191,4,672,0.995833
483,1.391304,4,672,0.995833
484,1.38843,4,672,0.995833
485,1.393814,4,676,0.995833
486,1.390947,4,676,0.995833
487,1.38809,4,676,0.995833
488,1.393443,4,680,0.995833
489,1.390593,4,680,0.995833
490,1.387755,4,680,0.995833
491,1.393075,4,684,0.995833
492,1.390244,4,684,0.995833
493,1.387424,4,684,0.995833
494,1.392713,4,688,0.995833
495,1.389899,4,688,0.995833
496,1.387097,4,688,0.995833
497,1.392354,4,692,0.995833
498,1.389558,4,692,0.995833
499,1.386774,4,692,0.995833
500,1.392,4,696,0.995833
501,1.389222,4,696,0.995833
